DateTime vs Times   pap
Start Time:  Mar 01 2012 00:00:00.000
End Time:  Mar 30 2012 00:00:00.000
Flavor:  Chocolate
Thing 1:  Yes
Thing 2:  Yes

         Date/Time                Value 1.           Value 2.
           (UTC)                   (sec)               (m)
   03/11/2012 06:20:28.184     493.152000045   -2336.045276940
   03/11/2012 07:59:21.294     493.196999864   -1610.701304847
   03/11/2012 09:38:14.392     493.241999997   -1096.757774070
   03/11/2012 11:17:07.486     493.294999923   -2866.132393230
   03/11/2012 12:56:00.478     493.353999930   -2702.717508571
   03/11/2012 14:34:53.410     493.408000027   -1917.827035853
   03/11/2012 16:13:46.357     493.454000016   -1231.491474189
   03/11/2012 17:52:39.369     493.468999746   -2146.538140430
   03/11/2012 19:31:32.402     493.550999905   -2919.287544044
   03/11/2012 21:10:25.458     493.609999912   -2307.543639426
   03/11/2012 22:49:18.490     493.656000216   -1582.633125368
   03/12/2012 00:28:11.491     493.699000007   -1151.490931506
   03/12/2012 02:07:04.532     493.755000131   -2916.606284037
   03/12/2012 03:45:57.492     493.814999994   -2680.270811228
   03/12/2012 05:24:50.468     493.865000037   -1890.295184646
   03/12/2012 07:03:43.519     493.912000197   -1092.594678179
   03/12/2012 08:42:36.647     493.922999874   -2257.351902947
   03/12/2012 10:21:29.757     494.011000113   -2921.107557383
   03/12/2012 12:00:22.768     494.071000291   -2281.468650293
   03/12/2012 13:39:15.716     494.115999795   -1557.979829683
   03/12/2012 15:18:08.651     494.154999848   -1217.508809557
   03/12/2012 16:57:01.679     494.210999971   -2962.004747869
   03/12/2012 18:35:54.663     494.271000149   -2660.752013896
   03/12/2012 20:14:47.668     494.321000192   -1863.579577118
   03/12/2012 21:53:40.715     494.372000091   -1071.914024415
   03/12/2012 23:32:33.730     494.380999741   -2369.458272727
   03/13/2012 01:11:26.773     494.473000034   -2916.877327645
   03/13/2012 02:50:19.733     494.530999870   -2245.507984218
   03/13/2012 04:29:12.677     494.576000003   -1523.254505878
   03/13/2012 06:08:05.693     494.611000002   -1291.563155974
   03/13/2012 07:46:58.839     494.668999838   -2994.855683702
   03/13/2012 09:25:51.942     494.729999872   -2635.734012722
   03/13/2012 11:04:44.970     494.782999798   -1837.056767127
   03/13/2012 12:43:37.949     494.834000012   -1057.672095654
   03/13/2012 14:22:30.885     494.842000119   -2477.517413743
   03/13/2012 16:01:23.876     494.933999784   -2911.704881053
   03/13/2012 17:40:16.867     494.991000078   -2214.622088119
   03/13/2012 19:19:09.816     495.035000041   -1492.080839496
   03/13/2012 20:58:02.854     495.068999869   -1371.125300289
   03/13/2012 22:36:55.942     495.133000100   -3021.423994610
   03/14/2012 00:15:48.941     495.194000134   -2607.223652551
   03/14/2012 01:54:41.913     495.246000204   -1837.582117491
   03/14/2012 03:33:34.852     495.295999933   -1048.094529031
   03/14/2012 05:12:27.863     495.345999976   -2581.016882827
   03/14/2012 06:51:20.906     495.396000019   -2901.897504506
   03/14/2012 08:30:14.011     495.452000143   -2181.882270267
   03/14/2012 10:09:07.050     495.497999818   -1461.012314371
   03/14/2012 11:48:00.057     495.531999960   -1459.940073653
   03/14/2012 13:26:53.056     495.596999733   -3046.048182590
   03/14/2012 15:05:45.977     495.656999911   -2579.950747488
   03/14/2012 16:44:38.918     495.707000268   -1811.803864477
   03/14/2012 18:23:31.890     495.755999826   -1049.423533135
   03/14/2012 20:02:24.931     495.804000157   -2665.584080592
   03/14/2012 21:41:17.981     495.857000083   -2887.401910980
   03/14/2012 23:20:10.980     495.915999776   -2143.863328086
   03/15/2012 00:59:03.949     495.962999936   -1422.785588544
   03/15/2012 02:37:56.908     495.993000024   -1560.621932052
   03/15/2012 04:16:49.902     496.059999825   -3058.279830418
   03/15/2012 05:55:42.898     496.120999858   -2544.778842816
   03/15/2012 07:34:35.961     496.169000189   -1778.564226694
   03/15/2012 09:13:29.055     496.170999901   -1363.947151222
   03/15/2012 10:52:22.137     495.982999890   -3043.258010774
   03/15/2012 12:31:15.123     495.796000049   -3182.906135600
   03/15/2012 14:10:08.046     495.612999948   -2428.755877134
